Issue Bigram,Issue Count,Most Common Action,Action Count,Top 3 Actions
gemba finding,418,gemba finding,18,"gemba finding (18), mcrady cody (10), cody gemba (7)"
operations noticed,242,enter work,11,"enter work (11), work order (11), order repair (9)"
dnti driver,218,truck loading,4,"truck loading (4), emulsion plant (3), cole incorporate (2)"
hard brake,209,attach file,1,"attach file (1), brake report (1), complete written (1)"
operator noticed,204,wixted william,19,"wixted william (19), work order (17), enter work (16)"
near miss,200,add video,1,"add video (1), barry add (1), clip file (1)"
acid plant,145,moore cole,5,"moore cole (5), moore norman (5), dann steve (4)"
cooling tower,135,enter work,8,"enter work (8), work order (8), william enter (7)"
cooling water,111,wixted william,5,"wixted william (5), enter work (4), william enter (4)"
rounds operator,103,enter work,6,"enter work (6), work order (6), william enter (4)"
urea plant,96,grills gabrielle,6,"grills gabrielle (6), wixted william (4), enter work (3)"
outside operator,93,drain valve,3,"drain valve (3), khouri paul (3), bennett nathan (2)"
control valve,92,goepfert david,2,"goepfert david (2), ammonia condensers (1), applied controls (1)"
feed pump,90,enter work,3,"enter work (3), wixted william (3), work order (3)"
water pump,86,thompson tracy,3,"thompson tracy (3), wixted william (3), bfw pump (2)"
compressor tripped,64,wixted william,3,"wixted william (3), activate trip (1), adjusting air (1)"
2nd stage,64,co2 plant,6,"co2 plant (6), moore norman (6), poe justin (6)"
normal operations,64,1212p150b ta,1,"1212p150b ta (1), admister point (1), alois admister (1)"
absorber tower,63,drain valve,3,"drain valve (3), absorber tower (2), 4acid absorber (1)"
block valve,63,enter work,5,"enter work (5), william enter (5), wixted william (5)"
air compressor,59,air compressor,2,"air compressor (2), high stage (2), stage air (2)"
nitric acid,59,dann steve,4,"dann steve (4), moody charles (4), nitric acid (4)"
truck driver,55,wixted william,3,"wixted william (3), barricade loading (2), co2 loading (2)"
pump tripped,49,mcvey michael,2,"mcvey michael (2), point lesson (2), 25th incident (1)"
brake driver,0,no action recorded,0,no action recorded
