Incident No.,Incident_Date,Site,Type,Brief Description,Maint_Count_1d_before,Maint_Count_3d_before,Maint_Count_7d_before,Maint_Count_14d_before,Maint_Count_30d_before,Maint_Count_60d_before,Maint_Count_90d_before,Maint_Count_1d_after,Maint_Count_3d_after,Maint_Count_7d_after,Maint_Count_14d_after,Maint_Count_30d_after,Maint_Count_60d_after,Maint_Count_90d_after
INC-1475522,2025-12-08,Cheyenne WY,<Undefined>,PSLL-1330 does not trip NH3 feed pump,33,33,151,205,384,760,1131,42,43,105,154,166,167,168
INC-1475521,2025-12-08,Cheyenne WY,<Undefined>,"P802B low lube pressure trip does not work, PSLL2422",33,33,151,205,384,760,1131,42,43,105,154,166,167,168
INC-1475520,2025-12-08,Cheyenne WY,<Undefined>,LAHH116 and PAHH-3 are currently in alarm.,33,33,151,205,384,760,1131,42,43,105,154,166,167,168
INC-1475501,2025-12-07,Cheyenne WY,<Undefined>,M-505 load out conveyer had slight spill that was left unnoticed for extended time period causing the belt to get off alignment and fold over on itself. ,0,27,118,172,351,747,1122,33,42,43,105,166,167,168
INC-1475420,2025-12-07,Cheyenne WY,<Undefined>,Heating system for Rotary Dryer Bull Gear lube oil not connected,0,27,118,172,351,747,1122,33,42,43,105,166,167,168
INC-1475294,2025-11-22,Cheyenne WY,<Undefined>,Valve Rendered Unusable without MOC,1,38,83,179,367,765,1139,0,54,54,172,326,339,339
INC-1475283,2025-12-04,Cheyenne WY,<Undefined>,"Operator slipped and fell on ice in roadway, causing shoulder injury",49,118,118,203,415,780,1123,27,27,70,132,191,194,195
INC-1475248,2025-12-03,Cheyenne WY,<Undefined>,North Chlorine cylinder regulator was wisping chlorine in #1 cooling tower. ,52,91,91,183,419,753,1130,49,49,91,154,213,216,217
INC-1475207,2025-11-27,Cheyenne WY (DNTI),Incident,"Reporting only- While stepping out of the truck onto uneven ground, employee rolled their ankle.",0,54,85,169,382,753,1083,0,0,118,161,272,285,285
INC-1475201,2025-11-25,Cheyenne WY,Incident,Inconsistent RPM on North Cooper,54,54,102,208,396,753,1129,21,21,90,181,293,306,306
INC-1475198,2025-12-01,Cheyenne WY,Incident,Leak on gas line from 2nd Separator,39,39,93,176,367,737,1115,69,118,151,223,282,285,285
INC-1475196,2025-12-01,Cheyenne WY,<Undefined>,Condensate leak on line to top of 1st Absorber,39,39,93,176,367,737,1115,69,118,151,223,282,285,285
INC-1475195,2025-11-30,Cheyenne WY,<Undefined>,"NH3 Feed Pump Gearbox Lube Oil Pump, P-801C3, tripping",0,0,54,137,328,720,1081,39,91,118,161,278,285,285
INC-1475194,2025-11-29,Cheyenne WY,Incident,Lines between the Overhead Condensers and NH3 Receiver found partially plugged,0,0,54,137,361,737,1081,0,69,118,161,278,285,285
INC-1475192,2025-11-29,Cheyenne WY,Incident,"Condensate to Vent Condenser, V-809, found plugged",0,0,54,137,361,737,1081,0,69,118,161,278,285,285
INC-1475191,2025-11-29,Cheyenne WY,Incident,HP CO2 Line into the Reactor plugged with urea solids,0,0,54,137,361,737,1081,0,69,118,161,278,285,285
INC-1475190,2025-11-29,Cheyenne WY,<Undefined>,"Ammonia Feed Pump Gearbox Oil Pump, P-801C3, tripping",0,0,54,137,361,737,1081,0,69,118,161,278,285,285
INC-1475189,2025-11-28,Cheyenne WY,Incident,"Debris found in LCV-1622, level control valve of 1st Separator",0,21,55,137,370,753,1081,0,39,118,161,272,285,285
INC-1475188,2025-11-28,Cheyenne WY,Incident,"Ammonia Feed Pump, P-801, east rod leaking",0,21,55,137,370,753,1081,0,39,118,161,272,285,285
INC-1475187,2025-11-28,Cheyenne WY,Incident,"Leaking check valve flange on condensate line to Vent Condenser, V-809",0,21,55,137,370,753,1081,0,39,118,161,272,285,285
INC-1475186,2025-11-28,Cheyenne WY,<Undefined>,Broken backflush valve for sand filters,0,21,55,137,370,753,1081,0,39,118,161,272,285,285
INC-1475185,2025-11-28,Cheyenne WY,<Undefined>,"Bad valves on Ammonia Feed Pump, P-801",0,21,55,137,370,753,1081,0,39,118,161,272,285,285
INC-1475184,2025-11-27,Cheyenne WY,<Undefined>,Ammonia Feed Pump suction PSV-1330 weeping,0,54,85,169,382,753,1083,0,0,118,161,272,285,285
INC-1475183,2025-11-27,Cheyenne WY,<Undefined>,Flange leak on 2nd Condenser in Urea,0,54,85,169,382,753,1083,0,0,118,161,272,285,285
INC-1475182,2025-11-26,Cheyenne WY,<Undefined>,"Middle rod leak on Ammonia Feed Pump, P-801",21,54,92,188,396,753,1110,0,0,91,160,272,285,285
INC-1475181,2025-11-26,Cheyenne WY,<Undefined>,"Ammonia Booster Pump, P-815D, found locked up",21,54,92,188,396,753,1110,0,0,91,160,272,285,285
INC-1475180,2025-11-26,Cheyenne WY,<Undefined>,"Bad valves found in Ammonia Feed Pump, P-801 ",21,54,92,188,396,753,1110,0,0,91,160,272,285,285
INC-1475101,2025-12-02,Cheyenne WY,<Undefined>,Disposal Well 2 FT not reading correctly.,69,69,90,171,397,731,1131,52,79,121,184,243,246,247
INC-1475100,2025-12-02,Cheyenne WY,<Undefined>,GC does not recognize server after Windows update,69,69,90,171,397,731,1131,52,79,121,184,243,246,247
INC-1474935,2025-11-29,Cheyenne WY,Near Miss,Opacity meter showing false high,0,0,54,137,361,737,1081,0,69,118,161,278,285,285
INC-1474642,2025-11-24,Cheyenne WY,Hazard,1215AIT6010 CHLORINE DOSING SET NAP#4 FAILED INSPECTION,33,34,116,212,375,761,1133,54,54,93,205,326,339,339
INC-1474638,2025-11-23,Cheyenne WY,Near Miss,MCC100 tripped causing loss of internet to C1 & emulsions (also see INC-1474576),0,31,83,179,342,749,1139,33,54,54,172,326,339,339
INC-1474576,2025-11-22,Cheyenne WY,Incident,P-151A pump tripped (also see INC-1474638),1,38,83,179,367,765,1139,0,54,54,172,326,339,339
INC-1474575,2025-11-24,Cheyenne WY,Incident,M-460 A conveyer stop running in auto ,33,34,116,212,375,761,1133,54,54,93,205,326,339,339
INC-1474440,2025-11-20,Cheyenne WY,Incident,Power blip caused multiple pumps to trip,37,82,114,209,406,787,1138,31,31,85,203,308,370,370
INC-1474427,2025-11-20,Cheyenne WY,Incident,Cooling Water Riser nipple began leaking on the Absorber Tower,37,82,114,209,406,787,1138,31,31,85,203,308,370,370
INC-1474394,2025-11-19,Cheyenne WY,Incident,Welding slag on MDEA-saturated insulation blanket - began to smolder; extinguished quickly,17,52,103,196,397,757,1145,37,38,92,183,315,377,377
INC-1474315,2025-11-18,Cheyenne WY,Incident,LV401 leaking NH3 out of packing,45,45,116,205,390,750,1159,17,48,102,171,325,387,387
INC-1474306,2025-11-06,Cheyenne WY,Hazard,Plugged Ditches,48,95,128,188,410,772,1133,31,31,127,209,382,548,549
INC-1474276,2025-11-15,Cheyenne WY,Incident,Valves got hot on 3rd stage SCB syn.,0,51,96,191,377,759,1146,0,45,83,137,360,422,422
INC-1474042,2025-11-13,Cheyenne WY,Incident,M-501 Conveyor Belt  bearing  went out and is causing damage to the shaft. ,51,96,127,224,421,790,1146,32,32,114,169,330,454,454
INC-1473921,2025-11-11,Cheyenne WY,Incident,Failed hydraulic hose on transloader.,45,45,109,194,384,739,1137,39,71,116,208,369,492,493
INC-1473903,2025-11-10,Cheyenne WY,Incident,Prill Tower fan vibration.,25,25,120,188,364,749,1135,45,96,131,212,393,517,518
INC-1473848,2025-11-06,Cheyenne WY,Incident,Operator was changing oil absorbent pads on the compressor deck. He stepped down and felt a sharp pain in his hamstring area.,48,95,128,188,410,772,1133,31,31,127,209,382,548,549
INC-1473847,2025-11-10,Cheyenne WY,Near Miss,Prill hopper car leaking.,25,25,120,188,364,749,1135,45,96,131,212,393,517,518
INC-1473792,2025-11-10,Cheyenne WY,Incident,F cyclone motor mounting bolts failed and chain broken,25,25,120,188,364,749,1135,45,96,131,212,393,517,518
INC-1473609,2025-11-06,Cheyenne WY,Hazard,Consistent high amp alarm on coating drum.,48,95,128,188,410,772,1133,31,31,127,209,382,548,549
INC-1473562,2025-11-03,Cheyenne WY,Incident,Operational upset led to unit SD,31,31,99,185,365,742,1146,47,95,120,226,419,610,613
INC-1473381,2025-11-01,Cheyenne WY,Incident,NH3 Booster Pump Suction PSV-1311 was weeping.,0,42,68,154,370,748,1131,0,47,95,191,367,610,613
INC-1473367,2025-10-28,Cheyenne WY,Incident,Underground Firewater line hit with metal pylon during the 50% DEF Expansion Project causing release of Well Water / Cooling Water to bare ground.,26,26,91,188,383,713,1151,21,54,101,194,382,654,667
INC-1473320,2025-11-02,Cheyenne WY,Hazard,Safety shower leaking,0,33,68,154,334,734,1131,31,64,95,191,397,610,613
INC-1473293,2025-11-01,Cheyenne WY,Incident,950 Loader had a small hydraulic leak.,0,42,68,154,370,748,1131,0,47,95,191,367,610,613
INC-1473267,2025-10-31,Cheyenne WY,Incident,Heat Train drain leaking (slightly).,33,54,68,154,392,753,1131,0,31,95,191,328,606,613
INC-1473265,2025-10-31,Cheyenne WY,Incident,Underground leak developing on fire hydrant.,33,54,68,154,392,753,1131,0,31,95,191,328,606,613
INC-1473252,2025-10-31,Cheyenne WY,Incident,Dryer temperature control valve won't control in auto.,33,54,68,154,392,753,1131,0,31,95,191,328,606,613
INC-1473251,2025-10-31,Cheyenne WY,Incident,Leak from Lean Stripper just below existing,33,54,68,154,392,753,1131,0,31,95,191,328,606,613
INC-1473215,2025-10-30,Cheyenne WY,Incident,C-446B motor failure & fire,42,68,93,186,409,753,1131,33,33,128,224,361,639,646
INC-1473207,2025-10-30,Cheyenne WY,Incident,Minor Leak on A Carb stuffing box,42,68,93,186,409,753,1131,33,33,128,224,361,639,646
INC-1472696,2025-10-23,Cheyenne WY,Near Miss,Sheet pile struck handrail which impact contractor's hip,44,86,118,213,423,797,1164,25,25,93,188,367,693,706
INC-1472510,2025-10-19,Cheyenne WY,Incident,Primary and secondary connection to controller 39 compromised ,0,32,90,180,360,769,1162,21,61,86,154,390,705,767
