Site,Department,Type,Maint_7days_before,Maint_30days_before,Maint_90days_before,Month,Quarter,DayOfWeek,Target
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,12,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,12,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,12,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,<Undefined>,0,0,0,12,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 1,<Undefined>,0,0,0,12,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,12,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,<Undefined>,0,0,0,12,4,2,1
Cheyenne WY (DNTI),DNTI Cheyenne WY,Incident,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,12,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,12,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,11,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 2,<Undefined>,0,0,0,12,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 4,<Undefined>,0,0,0,12,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,11,4,5,1
Cheyenne WY,Maintenance,Hazard,0,0,0,11,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,11,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,1,1
Cheyenne WY,Cheyenne Plant,Hazard,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,11,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,11,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Engineering & Reliability,Incident,0,0,0,10,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,11,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,11,4,5,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Plant,Near Miss,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,6,1
Cheyenne WY,Cheyenne Engineering & Reliability,Hazard,0,0,0,10,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,10,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,1,1
Cheyenne WY,Cheyenne Operations - Complex 4,Hazard,0,0,0,10,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,10,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,5,1
Cheyenne WY,Cheyenne Plant,Incident,0,0,0,10,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,10,4,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,10,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,10,4,6,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,10,4,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,10,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,10,4,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,1,1
Cheyenne WY (DNTI),DNTI Cheyenne WY,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,9,3,0,1
Cheyenne WY,Cheyenne Plant,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,5,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,9,3,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,9,3,4,1
Cheyenne WY,Cheyenne Plant,Incident,0,0,0,9,3,2,1
Cheyenne WY (Emulsion Plant),Western Regional Sales,Incident,0,0,0,9,3,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Plant,Hazard,0,0,0,9,3,0,1
Cheyenne WY,Cheyenne Plant,Hazard,0,0,0,9,3,0,1
Cheyenne WY,Cheyenne Plant,Hazard,0,0,0,9,3,3,1
Cheyenne WY (Emulsion Plant),Nitrogen Planning,Hazard,0,0,0,9,3,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,4,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,4,1
Cheyenne WY,Maintenance,Hazard,0,0,0,9,3,3,1
Cheyenne WY,Cheyenne Operations - Complex 2,Near Miss,0,0,0,9,3,1,1
Cheyenne WY (DNTI),Cheyenne Plant,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 2,Hazard,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,5,1
Cheyenne WY,Cheyenne Plant,Near Miss,0,0,0,8,3,4,1
Cheyenne WY,Cheyenne Plant,Incident,0,0,0,9,3,2,1
Cheyenne WY,Cheyenne Plant,Hazard,0,0,0,9,3,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,3,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,2,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Plant,Near Miss,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 2,Near Miss,0,0,0,9,3,0,1
Cheyenne WY,Cheyenne Operations - Complex 1,Near Miss,0,0,0,9,3,5,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,9,3,5,1
Cheyenne WY,Cheyenne Operations - Complex 1,Hazard,0,0,0,9,3,4,1
Cheyenne WY,Cheyenne Operations - Complex 2,Incident,0,0,0,9,3,1,1
Cheyenne WY,Cheyenne Operations - Complex 1,Incident,0,0,0,9,3,0,1
